,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
47037,Tennessee,Davidson,77.0,76.8,77.2,74.4,85.7,77.6,8532,408,399,417,508,181,394,444,76,69,84,106,57,60,507,7,7,8,12,5,5,13,13,13,13,13,13,11,9,12,3444,607,103900,16,46009,7,618,30,479,10,9,11,39,38,40,66519,15,14,16,7257,5,4,6,203,493:1,6,58264,55596,60932,39046,41521,63080,,48,41,10,9,11,556,16,15,18,148731,54,54,55,38762,15,14,15,691243,21.1,11.9,188619,27.3,3453,0.5,26343,3.8,784,0.1,71071,10.3,388640,56.2,30547,5,5,5,51.8,21382,3.4
47039,Tennessee,Decatur,75.4,73.8,77.0,,,,231,484,416,552,,,,,,,,,,,,,,,,,,14,14,15,14,14,15,15,11,19,12,121,1690,15,346,3,10,28,16,20,11,32,33,32,35,962,15,13,17,130,5,3,7,136,734:1,22,38988,34049,43927,19375,19423,38472,,43,26,,,,,,,,3473,74,70,77,566,13,8,17,11751,21.1,23.0,362,3.1,34,0.3,67,0.6,12,0.1,390,3.3,10769,91.6,0,0,0,1,50.8,11757,100.0
47041,Tennessee,DeKalb,73.5,72.2,74.8,,,,386,536,480,593,,,,14,82,45,137,,,,,,,,,,,15,14,15,14,14,15,14,10,18,34,210,2690,14,142,1,14,24,23,17,11,26,35,34,36,1826,16,14,18,195,5,3,6,60,1654:1,,42080,37904,46256,47448,27090,41186,,30,38,,,,14,15,8,24,4896,67,63,70,663,10,7,12,19852,21.8,18.0,270,1.4,84,0.4,231,1.2,3,0.0,1594,8.0,17479,88.0,82,0,0,1,50.4,14673,78.4
47043,Tennessee,Dickson,74.2,73.4,75.0,69.6,84.7,74.2,947,515,481,549,780,,509,30,62,42,88,,,,22,5,3,8,,,,13,13,14,14,13,14,13,9,17,62,145,6210,12,2577,5,48,31,96,27,22,33,36,34,37,4459,14,12,16,463,4,2,5,112,896:1,8,49518,44513,54523,29472,36079,48578,,31,27,6,4,9,56,22,16,28,13571,71,69,73,1922,11,9,13,52853,23.4,15.7,2153,4.1,257,0.5,355,0.7,30,0.1,1892,3.6,47330,89.6,258,1,0,1,50.9,33650,67.8
47045,Tennessee,Dyer,73.8,72.9,74.7,71.9,,73.9,769,559,518,600,697,,552,25,69,45,102,,,,34,10,7,14,,,,15,14,15,14,14,14,16,13,20,30,96,6050,16,5235,14,10,9,51,19,14,25,36,35,37,2735,12,10,15,320,3,2,5,123,814:1,13,44549,39694,49404,32348,48885,45462,,45,42,,,,25,13,9,20,9428,62,58,65,1492,10,8,12,37463,24.0,17.3,5221,13.9,150,0.4,295,0.8,12,0.0,1345,3.6,29947,79.9,194,1,0,1,51.8,16432,42.9
47047,Tennessee,Fayette,77.7,76.8,78.6,74.5,,78.6,624,385,352,418,506,,349,16,50,29,81,,,,,,,,,,,13,12,13,13,12,13,15,11,18,89,265,5690,15,932,2,15,13,44,16,12,22,35,34,36,2608,11,9,13,320,4,3,5,45,2224:1,9,60112,54846,65378,32285,22415,68108,,33,31,7,4,10,33,17,12,24,12028,80,78,81,1533,11,9,13,40036,19.6,20.7,10963,27.4,138,0.3,279,0.7,16,0.0,1077,2.7,27255,68.1,149,0,0,1,50.7,30363,79.0
47049,Tennessee,Fentress,73.5,72.3,74.8,,,,429,568,510,626,,,,,,,,,,,,,,,,,,17,16,17,16,16,17,15,11,19,9,59,2660,15,19,0,10,18,31,25,17,35,33,32,34,1572,15,13,18,169,4,3,6,77,1295:1,,32895,29057,36733,,25197,33505,,,24,,,,,,,,5580,76,72,79,817,12,8,16,18136,21.2,21.4,69,0.4,61,0.3,56,0.3,4,0.0,285,1.6,17489,96.4,9,0,0,1,51.1,17959,100.0
47051,Tennessee,Franklin,75.6,74.7,76.5,74.1,,75.4,710,453,417,488,480,,460,25,73,47,108,,,,21,8,5,12,,,,14,13,14,14,13,14,14,11,17,21,59,5150,13,2906,7,28,22,60,21,16,27,35,34,36,3120,13,11,15,345,4,3,5,65,1543:1,,49596,44363,54829,38500,35122,47948,,38,30,,,,27,13,9,19,12015,74,71,76,1551,10,8,12,41652,20.2,19.7,2106,5.1,181,0.4,385,0.9,34,0.1,1446,3.5,36834,88.4,435,1,0,2,51.4,28579,69.6
47053,Tennessee,Gibson,73.7,72.9,74.5,70.1,,74.5,971,552,516,588,711,,521,31,64,44,92,125,,51,32,8,5,11,,,,15,14,15,15,14,15,15,12,19,74,181,7840,16,3196,6,30,20,71,20,16,26,35,34,36,3294,12,10,13,411,3,2,4,88,1142:1,,42859,38393,47325,25081,,46924,,43,40,7,4,10,45,18,13,24,13438,70,67,72,2086,11,9,14,49111,24.6,17.7,8981,18.3,154,0.3,143,0.3,12,0.0,1354,2.8,37791,77.0,101,0,0,1,52.0,23706,47.7
47055,Tennessee,Giles,74.9,73.8,76.0,74.2,,74.8,535,481,438,525,468,,490,19,78,47,121,,,,,,,,,,,14,14,15,14,13,14,15,11,18,39,157,3920,14,1492,5,23,26,62,30,23,39,35,34,36,2411,14,12,16,273,4,3,6,92,1089:1,6,47838,42472,53204,40238,,44772,,21,20,,,,31,21,15,30,8086,70,67,72,937,9,6,11,29401,21.0,19.7,3088,10.5,116,0.4,140,0.5,13,0.0,687,2.3,24813,84.4,137,1,0,1,51.4,21744,73.7
47057,Tennessee,Grainger,74.2,73.0,75.4,,,,476,518,468,568,,,,18,94,56,149,,,,,,,,,,,15,14,15,14,14,15,14,10,19,17,87,2970,13,0,0,10,14,44,27,20,37,36,35,37,2033,15,12,17,217,4,3,6,43,2314:1,,43190,38971,47409,10188,53100,40691,,,26,,,,,,,,7061,77,76,79,768,9,6,11,23144,20.6,20.0,164,0.7,92,0.4,56,0.2,14,0.1,748,3.2,21869,94.5,202,1,0,2,49.6,22657,100.0
47059,Tennessee,Greene,74.5,73.9,75.2,,94.2,74.2,1412,518,489,547,438,,529,32,59,40,83,,,,33,7,5,10,,,,14,14,15,14,14,15,15,12,18,51,86,9230,14,2503,4,43,21,92,19,15,24,38,37,39,5324,13,11,15,482,3,2,5,112,894:1,9,40145,35634,44656,26271,21282,38777,,59,41,4,3,7,50,15,11,19,19864,73,71,74,2660,10,9,12,68808,19.7,21.3,1415,2.1,237,0.3,411,0.6,56,0.1,1954,2.8,64015,93.0,216,0,0,1,50.8,44874,65.2
47061,Tennessee,Grundy,71.6,70.0,73.1,,,,332,635,562,708,,,,,,,,,,,,,,,,,,17,16,17,16,16,17,16,12,21,8,70,2220,17,98,1,,,39,41,29,57,36,35,37,1321,18,15,20,121,4,3,6,82,1215:1,,34454,30101,38807,,,,,,20,,,,14,21,11,35,3670,75,72,78,488,11,8,15,13361,21.9,20.8,77,0.6,88,0.7,50,0.4,1,0.0,177,1.3,12816,95.9,15,0,0,1,50.5,13703,100.0
47063,Tennessee,Hamblen,75.0,74.3,75.8,71.7,108.3,74.6,1180,507,477,537,689,172,525,30,51,34,72,,,,33,6,4,9,,,,15,15,16,15,14,15,15,11,19,51,97,8420,13,11827,19,54,28,64,14,11,18,37,36,38,6194,17,14,19,621,4,3,5,157,636:1,6,44181,39930,48432,26779,21696,45593,,51,38,3,2,5,47,15,11,20,16081,66,64,68,3084,13,11,16,64277,23.1,18.3,2417,3.8,546,0.8,620,1.0,162,0.3,7670,11.9,52283,81.3,1520,3,2,3,51.1,13680,21.9
47065,Tennessee,Hamilton,77.6,77.3,77.9,73.8,93.0,78.1,5112,401,390,412,561,123,382,183,61,52,70,104,37,50,214,7,6,8,13,,6,13,12,13,13,13,13,13,12,15,888,297,50180,14,46488,14,215,20,264,11,9,12,37,36,37,26737,12,11,14,2204,3,2,4,167,599:1,6,52096,48522,55670,30035,38659,57241,,61,54,9,7,10,287,16,14,18,89631,64,64,65,16980,13,12,13,361613,20.9,17.2,69540,19.2,1976,0.5,7632,2.1,531,0.1,20621,5.7,257150,71.1,4986,1,1,2,51.8,33721,10.0
47067,Tennessee,Hancock,70.6,68.4,72.8,,,,167,664,556,773,,,,,,,,,,,,,,,,,,17,16,17,16,16,17,14,10,19,,,1110,17,26,0,,,14,30,16,51,37,36,38,560,15,12,17,46,3,2,5,167,600:1,,29689,25790,33588,,,,,,,,,,,,,,2094,77,72,82,190,8,4,12,6600,21.0,20.7,33,0.5,23,0.3,13,0.2,3,0.0,34,0.5,6400,97.0,29,0,0,2,50.8,6819,100.0
47069,Tennessee,Hardeman,74.3,73.2,75.4,74.0,,74.1,501,528,480,576,551,,532,15,74,41,122,,,,20,11,7,17,,,,16,15,16,15,14,15,15,12,19,39,176,5290,20,5218,19,10,13,40,22,16,30,41,40,42,1728,14,12,16,172,3,2,5,67,1497:1,19,38426,34537,42315,30413,127813,40195,,44,42,12,8,18,22,17,11,26,6039,70,66,73,1102,13,10,16,25447,19.7,17.7,10600,41.7,81,0.3,184,0.7,3,0.0,454,1.8,13855,54.4,55,0,0,1,45.2,21859,80.2
47071,Tennessee,Hardin,73.0,71.9,74.2,,,,622,604,553,655,,,,15,70,39,116,,,,,,,,,,,15,14,15,14,14,15,14,10,17,29,132,3750,15,1854,7,24,31,51,28,21,37,33,32,34,2102,14,12,17,208,4,3,5,120,834:1,,39318,34768,43868,21146,21771,40201,,41,37,6,3,11,29,22,15,32,7596,75,72,78,923,10,7,13,25846,20.6,22.6,852,3.3,158,0.6,144,0.6,8,0.0,683,2.6,23688,91.7,143,1,0,1,51.3,17679,67.9
47073,Tennessee,Hawkins,74.7,73.9,75.5,,,,1129,506,474,537,,,,29,62,42,89,,,,42,11,8,15,,,,15,14,15,14,14,15,15,12,18,36,74,7630,14,3992,7,46,27,77,19,15,24,35,34,36,4395,13,11,15,380,3,2,4,66,1526:1,7,41397,37494,45300,39107,78333,38638,,54,42,4,2,6,42,15,11,20,17302,74,72,76,2639,12,10,14,56459,20.2,20.5,826,1.5,198,0.4,266,0.5,13,0.0,919,1.6,53640,95.0,149,0,0,1,50.9,32884,57.9
